City,Room Type,Price,Guests,Rating,lat,lng
"Dehradun, India",Hotel/Other,1756,3,4.650204081632653,30.31512,78.03483
"Vijayawada, India",Hotel/Other,3041,3,4.650204081632653,16.47528,80.70549
"Vagator, India",Entire Place,998,14,4.64,15.60224,73.78022
"Nilgiris, India",Entire Place,993,10,4.650204081632653,11.33,76.803
"Vagator, India",Entire Place,940,10,4.650204081632653,15.59941,73.7575
"Mandrem, India",Entire Place,902,16,3.83,15.66367,73.71241
"Mumbai, India",Hotel/Other,1924,10,4.650204081632653,18.92181,72.83607
"Alibag, India",Entire Place,1804,12,4.650204081632653,18.64594,72.89102
"Manali, India",Entire Place,1744,12,4.83,32.2409,77.18879
"Calangute, India",Entire Place,1082,12,4.650204081632653,15.53091,73.76345
"Ashapura, India",Hotel/Other,2405,2,4.650204081632653,26.29586,74.73548
"Mahagaon, India",Entire Place,1546,16,4.53,18.697,73.506
"Kihim, India",Entire Place,1674,16,4.650204081632653,18.73272,72.86783
"Kalwar, India",Entire Place,1082,16,4.650204081632653,26.98848,75.58298
"Alibaug, India",Entire Place,842,16,4.0,18.65904,72.87707
"Ramgarh, India",Hotel/Other,4381,3,4.650204081632653,29.42102,79.54799
"Janedghat, India",Hotel/Other,4351,3,4.650204081632653,30.99192,77.20999
"Bujra, India",Private Room,962,16,4.650204081632653,24.561,73.637
"Ramgarh, India",Hotel/Other,4381,6,4.650204081632653,29.42237,79.54729
"New Delhi, India",Hotel/Other,4209,16,4.650204081632653,28.49698,77.13752
"Kolkata, India",Entire Place,6013,4,4.27,22.516,88.351
"New Delhi, India",Entire Place,4209,6,4.91,28.575,77.232
"Pune, India",Private Room,4269,2,4.8,18.52454,73.87851
"Kasol, India",Hotel/Other,4470,3,4.650204081632653,32.00977,77.31291
"Patna, India",Hotel/Other,4418,3,4.650204081632653,25.59828,85.17635
"New Delhi, India",Entire Place,4209,16,4.650204081632653,28.4963,77.15165
"Khoohdi, India",Hotel/Other,4444,4,4.650204081632653,26.61888,70.70844
"New Delhi, India",Hotel/Other,3608,16,4.650204081632653,28.49611,77.15379
"Bengaluru, India",Hotel/Other,4209,15,4.650204081632653,13.06573,77.4722
"Govind Nagar, India",Hotel/Other,5274,3,4.650204081632653,12.03632,92.99161
"Assagao, India",Entire Place,4209,16,4.650204081632653,15.59992,73.77924
"Alappuzha, India",Hotel/Other,698,6,4.650204081632653,9.46949,76.38729
"Mumbai, India",Entire Place,601,8,4.96,19.16242,72.7834
"Baga, India",Entire Place,661,14,5.0,15.56965,73.75761
"Dona Paula, India",Entire Place,660,14,4.62,15.45279,73.80111
"Marna, India",Entire Place,598,16,4.8,15.615,73.78
"Assagao, India",Entire Place,623,15,4.33,15.59117,73.77654
"Anjuna, India",Entire Place,771,15,4.88,15.5804,73.75759
"Jaipur, India",Entire Place,567,16,4.650204081632653,26.925,75.801
"Lonavala, India",Entire Place,624,15,5.0,18.67386,73.39413
"Alibag, India",Entire Place,701,15,4.47,18.65748,72.87744
"Manali, India",Entire Place,505,8,4.5,32.28484,77.17409
"Candolim, India",Entire Place,546,15,4.89,15.52543,73.78704
"Brittona, India",Entire Place,754,16,4.67,15.52537,73.84675
"Zirad, India",Entire Place,773,16,4.650204081632653,18.75593,72.8881
"Kune N.m., India",Entire Place,579,16,4.650204081632653,18.75698,73.39004
"Jaipur, India",Entire Place,524,16,4.64,26.92502,75.79783
"Baga, India",Entire Place,601,14,4.78,15.56983,73.75897
"Parra, India",Entire Place,545,10,4.57,15.57422,73.77815
"New Delhi, India",Hotel/Other,541,4,4.650204081632653,28.4439,77.20693
"Arambol, India",Entire Place,518,16,4.650204081632653,15.64017,73.71949
"Lonavla, India",Entire Place,523,15,4.56,18.76709,73.41391
"Bhandar Gaon, India",Entire Place,527,11,4.7,30.40678,78.08064
"Gurugram, India",Entire Place,574,16,4.57,28.29159,76.93283
"Anjuna, India",Entire Place,600,13,4.650204081632653,15.59174168,73.76814341
"Candolim, India",Entire Place,601,4,4.54,15.5166,73.76937
"Lonavla, India",Entire Place,519,16,5.0,18.73924,73.43787
"Puducherry, India",Private Room,589,16,4.650204081632653,11.928,79.833
"Arpora, India",Entire Place,644,14,4.650204081632653,15.57131,73.75704
"Candolim , India",Entire Place,704,15,5.0,15.50387,73.77057
"Alibag, India",Hotel/Other,498,12,4.13,18.73712,72.87669
"Anjuna, India",Entire Place,553,12,4.650204081632653,15.5877,73.765
"Saligao, India",Entire Place,687,14,4.650204081632653,15.55615,73.78145
"Calangute, India",Entire Place,661,14,4.650204081632653,15.54714,73.7644
"Calangute, India",Entire Place,531,16,5.0,15.535,73.768
"Alappuzha, India",Private Room,515,9,4.650204081632653,9.54289,76.35456
"Achrol, India",Hotel/Other,722,16,4.650204081632653,27.13538,75.96086
"Jaipur, India",Hotel/Other,601,16,4.650204081632653,27.04744,75.74732
"New Delhi, India",Hotel/Other,601,16,4.650204081632653,28.43781,77.18884
"Panchgani, India",Entire Place,595,16,4.650204081632653,17.93,73.804
"Udaipur, India",Hotel/Other,495,11,4.650204081632653,24.5971,73.75547
"Kochi, India",Entire Place,541,6,5.0,9.95954,76.23788
"Calangute, India",Entire Place,502,16,4.650204081632653,15.535,73.766
"Pawas, India",Entire Place,601,16,4.650204081632653,16.87067,73.31219
"Panchgani, India",Entire Place,550,15,4.650204081632653,17.91824,73.80685
"Baga, India",Entire Place,601,12,4.650204081632653,15.56546,73.7483
"Mahabaleshwar, India",Entire Place,533,16,4.650204081632653,17.92354,73.66923
"Jaipur, India",Entire Place,553,12,4.650204081632653,26.92538,75.72046
"Bijainagar, India",Hotel/Other,722,15,4.650204081632653,25.913,74.591
"Aamwala, India",Hotel/Other,601,10,4.650204081632653,30.36688,77.9941
"Nerul, India",Entire Place,601,16,4.650204081632653,15.50773,73.80062
"Gurugram, India",Hotel/Other,601,16,4.650204081632653,28.35522,77.00456
"Mararikulam, India",Private Room,541,16,4.650204081632653,9.59906,76.3014
"Alappuzha, India",Hotel/Other,534,4,4.650204081632653,9.47909,76.38724
"Alappuzha, India",Hotel/Other,541,2,4.650204081632653,9.46065,76.39451
"Calangute, India",Entire Place,490,16,4.650204081632653,15.56914,73.75654
"Chuchot Yakma, India",Private Room,541,10,4.650204081632653,34.08691,77.5807
"Nashik, India",Private Room,505,16,4.650204081632653,20.07478,73.64144
"Sangolda, India",Entire Place,655,8,4.650204081632653,15.54225,73.81266
"Penha de França, India",Entire Place,593,6,4.650204081632653,15.544,73.817
"Kashid, India",Entire Place,541,14,4.650204081632653,18.4396,72.90539
"Gadherni, India",Hotel/Other,601,16,4.650204081632653,32.21399,77.18382
"Lonavla, India",Entire Place,500,9,4.650204081632653,18.77809,73.38887
"Udaipur, India",Entire Place,577,16,4.650204081632653,24.63226,73.63276
"Kumdal, India",Hotel/Other,533,16,4.650204081632653,19.70887,73.00706
"New Delhi, India",Entire Place,601,15,4.650204081632653,28.64295,77.17428
"Candolim, India",Entire Place,678,16,4.650204081632653,15.529,73.801
"Varanasi, India",Entire Place,601,6,4.650204081632653,25.30992,82.96668
